source,target,mor
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,CCL5,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CCL5,1
KEGG_PRION_DISEASES,CCL5,1
KEGG_WNT_SIGNALING_PATHWAY,FOSL1,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,LIF,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,LIF,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,STAT5A,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,STAT5A,1
KEGG_ACUTE_MYELOID_LEUKEMIA,STAT5A,1
KEGG_ERBB_SIGNALING_PATHWAY,STAT5A,1
KEGG_PATHWAYS_IN_CANCER,STAT5A,1
KEGG_CIRCADIAN_RHYTHM_MAMMAL,BHLHE40,1
KEGG_ECM_RECEPTOR_INTERACTION,CD44,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,CD44,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL11,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL11,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,CXCL11,1
KEGG_GNRH_SIGNALING_PATHWAY,HBEGF,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,HBEGF,1
KEGG_ERBB_SIGNALING_PATHWAY,HBEGF,1
KEGG_N_GLYCAN_BIOSYNTHESIS,B4GALT1,1
KEGG_GALACTOSE_METABOLISM,B4GALT1,1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,B4GALT1,1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,B4GALT1,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,CSF2,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,CSF2,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CSF2,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,CSF2,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,CSF2,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,CSF2,1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,NAMPT,1
KEGG_CALCIUM_SIGNALING_PATHWAY,ATP2B1,1
KEGG_PANCREATIC_CANCER,RELA,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,RELA,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,RELA,1
KEGG_APOPTOSIS,RELA,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,RELA,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,RELA,1
KEGG_SMALL_CELL_LUNG_CANCER,RELA,1
